isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
331597;2010;3;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0835379755104429;1;0.20170055119315222;0
331597;2010;4;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2010;5;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2010;6;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2010;7;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2010;8;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2010;9;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2010;10;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2010;11;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2010;12;0.0;0.0;0.0;0.0;0.0;8149.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06512780094936105;1;1.106600702261126;0
331597;2011;1;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05907113954593557;1;0.23085407350029996;0
331597;2011;2;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;3;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;4;49.71;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.04904274504889894;-1;-2.7699220878330078;2
331597;2011;5;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05907113954593557;1;0.23085407350029996;0
331597;2011;6;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;7;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;8;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;9;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;10;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;11;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2011;12;0.0;0.0;0.0;0.0;0.0;8557.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.051562458863420535;1;1.0897049818509004;0
331597;2012;1;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;2;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;3;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;4;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;5;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;6;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;7;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;8;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;9;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;10;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;11;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2012;12;0.0;0.0;0.0;0.0;0.0;9156.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.037867085391172006;1;1.0454705923918226;0
331597;2013;1;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;2;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;3;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;4;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;5;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;6;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;7;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;8;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;9;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.026950052228510435;1;0.24750869430297406;0
331597;2013;10;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.026950052228510435;1;0.24750869430297406;0
331597;2013;11;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2013;12;0.0;0.0;0.0;0.0;0.0;9667.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029560551469493768;1;0.9638099981631285;0
331597;2014;1;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;2;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;3;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;4;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01771492222297122;1;0.2191165370365198;0
331597;2014;5;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01771492222297122;1;0.2191165370365198;0
331597;2014;6;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;7;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;8;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
