isn_vinculo,cod_cargo,num_ano,num_mes,94,97,101,140,204,302,303,316,317,1236,1367,1369
958041,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15316526301256386,0.22114057083422078,0.0,0.0,0.0
804319,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10639845367941461,0.0,0.0,0.0,0.0
750876,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27535717244235813,0.0,0.0,0.0,0.0
296906,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13681568410879472,0.0,0.0,0.0,0.0
813779,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711732707441668,0.0,0.0,0.0,0.0
296906,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13681568410879472,0.0,0.0,0.0,0.0
966471,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534209581665056,0.0,0.0,0.0,0.0
383677,V010,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449344194394588,0.0,0.0,0.0,0.0
218864,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15886621565649595,0.0,0.0,0.0,0.0
296991,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.5218614426469739,0.0,0.0,0.0,0.0,0.1018100175107058,0.14170024174053175
750877,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161537484467762,0.0,0.0,0.0,0.0
751545,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862460306502832,0.0,0.0,0.0,0.0
312126,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909733535827696,0.0,0.0,0.0,0.0
807039,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29416650559160573,0.0,0.0,0.0,0.0
746609,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2208935523954163,0.0,0.0,0.0,0.0
751545,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862460306502832,0.0,0.0,0.0,0.0
734348,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401673339776336,0.0,0.0,0.10073336916382045,0.11668009669621282
600449,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4762871738230016,0.0,0.0,0.0,0.0
811517,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3572906254314511,0.0,0.0,0.0,0.0
296991,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.5218614426469739,0.0,0.0,0.0,0.0,0.0,0.0
599312,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20877260803534448,0.0,0.0,0.13874373688864233,1.0
807039,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29416650559160573,0.0,0.0,0.0,0.0
734431,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859279304155737,0.0,0.0,0.0,0.0
297334,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
