isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;94_yoy;97_yoy;101_yoy;140_yoy;204_yoy;302_yoy;303_yoy;316_yoy;317_yoy;1236_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
12901;2010;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;408.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2011;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14091;2012;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;2036.83;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14091;2012;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14091;2012;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14091;2012;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14091;2012;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14097;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14097;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14097;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
