isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;8_yoy;15_yoy;54_yoy;97_yoy;207_yoy;324_yoy;IF_label;IF_score;anomalo
297568;2015;1;4728.0;709.2;1812.4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;2;4728.0;709.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;3;4728.0;709.2;0.0;0.0;0.0;0.0;2.0736842105263156;2.073684210526316;1.0;1.0;1.0;1.0;-1;-0.052163648647457816;1
297568;2015;4;4728.0;709.2;0.0;0.0;0.0;0.0;1.789119970938153;1.789101917255298;1.0;1.0;1.0;1.0;1;0.01763826967126192;0
297568;2015;5;0.0;709.2;0.0;375.93;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;6;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;7;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;8;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;9;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;10;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;11;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;12;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;1;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;2;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;3;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;4;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;5;0.0;792.0;0.0;0.0;5280.0;0.0;0.0;2.3157894736842106;1.0;1.0;1.0;0.0;-1;-0.17356323237982751;1
297568;2016;6;0.0;792.0;0.0;0.0;5280.0;0.0;0.0;1.997981836528759;1.0;1.0;1.0;0.0;-1;-0.1708279950336612;1
297568;2016;7;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;8;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;9;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;10;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;11;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2016;12;0.0;792.0;0.0;0.0;5280.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;1;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;2;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;3;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;4;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;5;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;6;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;7;0.0;843.3;0.0;0.0;5622.0;0.0;0.0;2.4657894736842105;1.0;1.0;1.0;1.0;-1;-8.65149736163362e-05;1
297568;2017;8;0.0;843.3;0.0;0.0;5622.0;0.0;0.0;2.127396569122099;1.0;1.0;1.0;1.0;-1;-0.003908871986936457;1
297568;2017;9;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;10;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;11;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2017;12;0.0;843.3;0.0;0.0;5622.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2018;1;0.0;858.6;0.0;0.0;5724.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2018;2;0.0;858.6;0.0;0.0;5724.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2018;3;0.0;858.6;0.0;0.0;5724.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2018;4;0.0;858.6;0.0;0.0;5724.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
