isn_vinculo;num_ano;num_mes;8;15;16;21;24;30;51;54;62;79;160;161;168;185;248;252;297;312;324;329;669;1232;1233;1352;1353;1367;1368;1369;1404;1454;8_yoy;15_yoy;16_yoy;21_yoy;24_yoy;30_yoy;51_yoy;54_yoy;62_yoy;79_yoy;160_yoy;161_yoy;168_yoy;185_yoy;248_yoy;252_yoy;297_yoy;312_yoy;324_yoy;329_yoy;669_yoy;1232_yoy;1233_yoy;1352_yoy;1353_yoy;1367_yoy;1368_yoy;1369_yoy;1404_yoy;1454_yoy;IF_label;IF_score;anomalo
602518;2017;3;627.91;94.19;2224.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;214.9;0.0;0.0;213.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;4;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;59.82;0.0;266.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.99;10.17;0.0;28.88;133.47;14.44;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;5;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;254.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;6;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;254.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;7;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;266.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;8;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;1075.33;0.0;0.0;220.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;9;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;254.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;10;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;242.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;11;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;242.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2017;12;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;266.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.57;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
602518;2018;1;640.47;96.07;2269.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.4;0.0;0.0;205.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.14;0.0;0.0;0.0;0.0;9.57;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.28601877032847567;0
