isn_vinculo;num_ano;num_mes;15;39;97;188;207;1367;1369;15_yoy;39_yoy;97_yoy;188_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
305943;2013;6;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;7;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;8;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;9;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;10;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;11;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;12;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;1;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;2;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;3;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;4;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;5;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;6;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;7;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;8;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;9;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;10;577.12;1538.57;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;11;577.12;0.0;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2014;12;577.12;0.0;0.0;0.0;2077.64;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2015;1;614.35;0.0;0.0;0.0;2211.65;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2015;2;614.35;0.0;0.0;0.0;2211.65;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;3;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;4;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;5;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;6;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;7;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;8;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;9;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;10;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;11;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2007;12;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;1;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;2;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;3;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;4;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;0.9422247590055809;1.0;1.0;0.9422749427447297;0.9422407262776508;1.0;1.0;-1;-0.012125574504746273;1
320541;2008;5;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;0.8888955366758405;1.0;1.0;0.8889258212841394;0.8889092017062766;1.0;1.0;-1;-0.04049931431793685;1
320541;2008;6;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;0.8074895374748627;1.0;1.0;0.8075084293694329;0.8074973956891737;1.0;1.0;-1;-0.08136346319415189;1
320541;2008;7;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;0.8009346269111597;1.0;1.0;0.800912425924184;0.8009303025599782;1.0;1.0;-1;-0.0953164094683081;1
320541;2008;8;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;9;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;10;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;11;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2008;12;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;1;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;2;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;3;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;4;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;5;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;6;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;7;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;8;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.1249915864575621;1.0;1.0;1.1249532593792844;1.1249742921779666;1.0;1.0;1;0.0189352721260605;0
320541;2009;9;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0599949264332826;1.0;1.0;1.0600152680721122;1.0599965941054534;1.0;1.0;1;0.002019235784247231;0
320541;2009;10;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2009;11;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;0.9084189358117288;1.0;1.0;0.9084092395953902;0.9084138111509795;1.0;1.0;-1;-0.024166093510834097;1
320541;2009;12;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;0.8489866409305633;1.0;1.0;0.8489793998683096;0.8489833928294273;1.0;1.0;-1;-0.07726512118827145;1
320541;2010;1;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;2;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;3;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;4;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;5;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;6;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;7;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;8;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;9;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;10;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;11;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2010;12;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;1;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.282368793996701;1.0;1.0;1.2823309241094476;1.2823575724721856;1.0;1.0;1;0.05372362677311837;0
320541;2011;2;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.238406138520563;1.0;1.0;1.2383771656487599;1.2383940868893224;1.0;1.0;1;0.0465624279076734;0
320541;2011;3;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.1668569254185692;1.0;1.0;1.1668917728580657;1.1668653438485432;1.0;1.0;1;0.032881753726273444;0
320541;2011;4;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.100813689122891;1.0;1.0;1.1008254390338486;1.100819899174561;1.0;1.0;1;0.016390678084538646;0
320541;2011;5;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;6;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;0.9345761162188246;1.0;1.0;0.9345781205907252;0.9345778128953668;1.0;1.0;-1;-0.007852803756663862;1
320541;2011;7;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;8;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;9;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;10;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;11;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2011;12;551.97;0.0;0.0;198.71;1987.09;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;1;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;2;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;3;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;4;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;5;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;6;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2012;7;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.3721394884185583;1.0;1.0;1.3720960247805885;1.3721249903198327;1.0;1.0;1;0.02605889025529673;0
320541;2012;8;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.3250992798007675;1.0;1.0;1.3250654368690016;1.3250839788853088;1.0;1.0;1;0.045715223848658115;0
320541;2012;9;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.2485413495687467;1.0;1.0;1.2485759586587586;1.2485480906437727;1.0;1.0;1;0.07580654918636431;0
320541;2012;10;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.177874835467273;1.0;1.0;1.1778848817240042;1.1778793418647167;1.0;1.0;1;0.05606191697603635;0
320541;2012;11;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0700038045545954;1.0;1.0;1.0700015097378088;1.0700018620193348;1.0;1.0;1;0.013915685868809424;0
320541;2012;12;590.61;0.0;0.0;212.62;2126.19;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2013;1;623.56;0.0;0.0;224.48;2244.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2013;2;623.56;0.0;0.0;224.48;2244.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
320541;2013;3;623.56;0.0;0.0;224.48;2244.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
