isn_vinculo;num_ano;num_mes;15;97;207;1367;1369;15_yoy;97_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
296897;2016;3;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;4;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;5;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;6;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;7;1074.55;0.0;3581.83;0.0;0.0;1.5741323996894363;1.0;1.5741401587399249;1.0;1.0;1;0.042640263211684126;0
296897;2016;8;1074.55;0.0;3581.83;0.0;0.0;1.4832222176211574;1.0;1.4832208373017515;1.0;1.0;1;0.05100575088820347;0
296897;2016;9;1074.55;0.0;3581.83;0.0;0.0;1.3992629632523372;1.0;1.399267127381543;1.0;1.0;1;0.08856000459009583;0
296897;2016;10;1074.55;0.0;3581.83;0.0;0.0;1.3346789218730593;1.0;1.334671048709235;1.0;1.0;1;0.055665180232007394;0
296897;2016;11;1074.55;0.0;3581.83;0.0;0.0;1.271115264502697;1.0;1.2711170888546626;1.0;1.0;1;0.0310746507115216;0
296897;2016;12;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;1;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;2;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;3;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;4;1096.04;0.0;3653.47;186.26;93.13;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;5;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;6;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;7;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;8;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;9;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;10;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;11;1096.04;0.0;3653.47;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2017;12;1096.04;0.0;3653.47;0.0;0.0;1.6056135827607927;1.0;1.60562445614436;1.0;1.0;-1;-0.0029242212899246445;1
296897;2018;1;1096.04;0.0;3653.47;0.0;0.0;1.5128852816541747;1.0;1.5128866619735806;1.0;1.0;1;0.00769183217999958;0
296897;2018;2;1096.04;0.0;3653.47;0.0;0.0;1.4272469203323175;1.0;1.4272537981631306;1.0;1.0;1;0.019777783023669504;0
296897;2018;3;1128.92;0.0;3763.07;0.0;0.0;1.4022109054775804;1.0;1.4022051809455673;1.0;1.0;1;0.07968550423547571;0
296897;2018;4;1128.92;0.0;3763.07;0.0;0.0;1.3354310589571308;1.0;1.3354354013329264;1.0;1.0;1;0.07080124624024442;0
296897;2018;5;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;6;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;7;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;8;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;9;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;10;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;11;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2018;12;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;1;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;2;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;3;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;4;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;5;1128.92;0.0;3763.07;0.0;0.0;1.653780232336698;1.0;1.6537913879635409;1.0;1.0;1;0.013416444960316798;0
296897;2019;6;1128.92;0.0;3763.07;0.0;0.0;1.558270183720513;1.0;1.558271564039919;1.0;1.0;1;0.06453926665845267;0
296897;2019;7;1128.92;0.0;3763.07;0.0;0.0;1.4700627653202072;1.0;1.4700698104141356;1.0;1.0;1;0.05517278875432596;0
296897;2019;8;1128.92;0.0;3763.07;0.0;0.0;1.4022109054775804;1.0;1.4022051809455673;1.0;1.0;1;0.07968550423547571;0
296897;2019;9;1128.92;0.0;3763.07;0.0;0.0;1.3354310589571308;1.0;1.3354354013329264;1.0;1.0;1;0.07080124624024442;0
296897;2019;10;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;11;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2019;12;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;1;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;2;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;3;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;4;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;5;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;6;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;7;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;8;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;9;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2020;10;1128.92;0.0;3763.07;0.0;0.0;1.653780232336698;1.0;1.6537913879635409;1.0;1.0;1;0.013416444960316798;0
296897;2020;11;1128.92;0.0;3763.07;0.0;0.0;1.558270183720513;1.0;1.558271564039919;1.0;1.0;1;0.06453926665845267;0
296897;2020;12;1128.92;0.0;3763.07;0.0;0.0;1.4700627653202072;1.0;1.4700698104141356;1.0;1.0;1;0.05517278875432596;0
296897;2021;1;1128.92;0.0;3763.07;0.0;0.0;1.4022109054775804;1.0;1.4022051809455673;1.0;1.0;1;0.07968550423547571;0
296897;2021;2;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;3;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;4;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;5;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;6;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;7;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;8;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;9;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;10;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;11;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2021;12;1128.92;0.0;3763.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;1;1189.55;0.0;3965.15;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;2;1189.55;0.0;3965.15;0.0;0.0;1.7425984794105152;1.0;1.7426013659016797;1.0;1.0;-1;-0.06373394327994597;1
296897;2022;3;1189.55;0.0;3965.15;0.0;0.0;1.6419589493008682;1.0;1.6419520477038387;1.0;1.0;1;0.026243617175172096;0
296897;2022;4;1189.55;0.0;3965.15;0.0;0.0;1.5490142459046279;1.0;1.5490137862871565;1.0;1.0;1;0.04393284254477969;0
296897;2022;5;1250.17;0.0;4167.22;0.0;0.0;1.5528133151161347;1.0;1.552800631968044;1.0;1.0;1;0.050786637418374414;0
296897;2022;6;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;7;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;8;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;9;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;10;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;11;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2022;12;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;1;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;2;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;3;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;4;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;5;1250.17;0.0;4167.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2023;6;1287.67;0.0;4292.24;0.0;0.0;1.8863366684734044;1.0;1.886350651747809;1.0;1.0;-1;-0.18318542319957754;1
296897;2023;7;1287.67;0.0;4292.24;0.0;0.0;1.7773958894088093;1.0;1.7773986500476209;1.0;1.0;-1;-0.09907527939241423;1
296897;2023;8;1322.68;8567.53;4408.92;0.0;0.0;1.7223741438133187;1.0;1.7223756636286571;1.0;1.0;-1;-0.06701500177980091;1
296897;2023;9;1322.68;0.0;4408.92;0.0;0.0;1.6428766612843126;1.0;1.642863530674298;1.0;1.0;1;0.025112349031924386;0
331445;2007;3;697.0;0.0;2090.99;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;4;697.0;0.0;2090.99;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;5;697.0;0.0;2090.99;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;6;697.0;0.0;2090.99;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;7;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;8;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;9;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;10;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;11;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2007;12;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
331445;2008;1;721.74;0.0;2165.22;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
