isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;anomalo
305874;2012;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2013;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2014;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2237.2;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
