isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;anomalo
297091;2009;5;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;5;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;5;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
297091;2009;6;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;6;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;6;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
297091;2009;7;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;7;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;7;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14259582676615845;0
297091;2009;8;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;8;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;8;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;121.98;0.0;0.0;0.0;0.0;1;0.023389738163098528;0
297091;2009;9;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;9;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;9;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14259582676615845;0
297091;2009;10;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;10;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;10;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14259582676615845;0
297091;2009;11;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;11;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;11;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14259582676615845;0
297091;2009;12;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.1291201321396247;0
297175;2009;12;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1113279425086014;0
297608;2009;12;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14259582676615845;0
297091;2010;1;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;1;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;1;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;2;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;2;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;2;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;3;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;3;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;3;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;4;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;4;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;4;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;5;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;5;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;5;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;6;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.13433850335067726;0
297175;2010;6;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.12249061770937386;0
297608;2010;6;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15246609616848172;0
297091;2010;7;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
297175;2010;7;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;7;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1522381539571977;0
297091;2010;8;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
297175;2010;8;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;8;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;126.1;0.0;0.0;0.0;0.0;1;0.033091681770218595;0
297091;2010;9;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
297175;2010;9;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;9;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1522381539571977;0
297091;2010;10;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
297175;2010;10;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;10;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1522381539571977;0
297091;2010;11;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
