isn_vinculo;num_ano;num_mes;8;15;54;86;199;324;1232;1352;1367;1369;1404;IF_label;IF_score;anomalo
297565;2014;8;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;9;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;10;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;11;1967.33;196.73;721.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15854628996021086;0
297565;2014;12;1967.33;196.73;721.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15854628996021086;0
297565;2015;1;2094.22;209.42;0.0;0.0;0.0;0.0;46.53;0.0;0.0;0.0;0.0;1;0.06072333050663936;0
297565;2015;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;4;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;5;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;6;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;7;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;8;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;9;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;10;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;11;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2015;12;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22406085409058718;0
297565;2016;1;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;4;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;5;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;6;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;7;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;8;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;9;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;10;2094.22;209.42;767.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1342576848400715;0
297565;2016;11;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2016;12;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2017;1;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.002155638894308587;0
297565;2017;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.002155638894308587;0
297565;2017;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.002155638894308587;0
297565;2017;4;2136.1;213.61;0.0;0.0;0.0;0.0;0.0;23.5;92.15;46.07;0.0;-1;-0.1182968499619157;1
297565;2017;5;2136.1;213.61;0.0;0.0;0.0;0.0;0.0;23.5;0.0;0.0;0.0;1;0.060227645910020056;0
297565;2017;6;2242.92;224.29;0.0;235.0;0.0;0.0;0.0;27.02;0.0;0.0;0.0;-1;-0.05357022378835019;1
297565;2017;7;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.10720615913188869;0
297565;2017;8;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.10720615913188869;0
297565;2017;9;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.10720615913188869;0
297565;2017;10;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.10720615913188869;0
297565;2017;11;2242.92;224.29;822.4;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;-1;-0.04192145074089637;1
297565;2017;12;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.10720615913188869;0
297565;2018;1;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;49.34;0.0;0.0;24.67;-1;-0.027183002389004507;1
297565;2018;2;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;49.34;0.0;0.0;0.0;1;0.06276007453735521;0
297565;2018;3;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.12829462237961886;0
297565;2018;4;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.12829462237961886;0
297565;2018;5;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.12829462237961886;0
297565;2018;6;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.12829462237961886;0
