isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
305874;2015;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2015;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2016;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2017;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
305874;2017;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.2252622031450608;1;0.0054762702867330315;0
