isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
147818;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;1;3060.0;459.0;1173.0;0.0;0.0;0.0;-1;-0.0007998293678912471;-1;-0.00015566124953680927;2
320529;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
147818;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;2;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1582633819817399;1;0.2506986288747166;0
320529;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
147818;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;3;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1582633819817399;1;0.2506986288747166;0
320529;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;4;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1582633819817399;1;0.2506986288747166;0
320529;2010;4;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;5;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1582633819817399;1;0.2506986288747166;0
320529;2010;5;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;6;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1582633819817399;1;0.2506986288747166;0
320529;2010;6;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17886510853590915;1;0.3334148436495785;0
297568;2010;7;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1721815871527519;1;0.2656025519499643;0
320529;2010;7;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2010;8;3208.1;481.22;0.0;0.0;0.0;83.32;-1;-0.044248700282292885;1;0.07540771032148141;1
320529;2010;8;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2010;9;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1721815871527519;1;0.2656025519499643;0
320529;2010;9;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2010;10;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1721815871527519;1;0.2656025519499643;0
320529;2010;10;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2010;11;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1721815871527519;1;0.2656025519499643;0
320529;2010;11;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2010;12;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1721815871527519;1;0.2656025519499643;0
320529;2010;12;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.18203141210470042;1;0.36760620828614643;0
297568;2011;1;3240.0;486.0;0.0;0.0;0.0;0.0;1;0.1699417151973472;1;0.2679029731704943;0
320529;2011;1;0.0;810.0;0.0;0.0;2916.0;0.0;1;0.17606566621281972;1;0.37430894235842116;0
297568;2011;2;3240.0;486.0;1242.0;0.0;0.0;0.0;1;0.000654405846456374;-1;-0.00023984267246612845;1
320529;2011;2;0.0;810.0;0.0;0.0;2916.0;0.0;1;0.17606566621281972;1;0.37430894235842116;0
297568;2011;3;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.17737079618662632;1;0.26977448880845367;0
