isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
331355;2021;12;0.0;4992.89;-1;-0.00951599923471802;1;0.3640027284639835;1
331390;2021;12;0.0;232.9;1;0.20053608485728636;1;0.2663741470346448;0
331430;2021;12;0.0;2423.59;1;0.16206033652747026;1;0.010028322990971006;0
305879;2022;1;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;1;0.0;922.19;1;0.09338923365774399;1;0.5282646573573224;0
312125;2022;1;0.0;1819.09;1;0.1176749498364349;1;0.027365533707671474;0
320454;2022;1;0.0;401.84;1;0.16825609365666505;1;0.5054770579516319;0
331355;2022;1;0.0;5261.01;-1;-0.03679809281373325;1;0.47057407363467796;1
331390;2022;1;0.0;245.41;1;0.17960029479591566;1;0.28921129264113077;0
331430;2022;1;0.0;2553.74;1;0.09551797590608291;1;0.01787215749315685;0
305879;2022;2;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;2;0.0;922.19;1;0.09338923365774399;1;0.5282646573573224;0
312125;2022;2;600.61;2419.47;-1;-0.06757352575372089;-1;-11.298832146121722;2
320454;2022;2;0.0;401.84;1;0.16825609365666505;1;0.5054770579516319;0
331355;2022;2;0.0;5261.01;-1;-0.03679809281373325;1;0.47057407363467796;1
331390;2022;2;0.0;245.41;1;0.17960029479591566;1;0.28921129264113077;0
331430;2022;2;1027.34;3581.07;-1;-0.16737717031088895;-1;-11.298832175561346;2
305879;2022;3;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;3;0.0;922.19;1;0.09338923365774399;1;0.5282646573573224;0
312125;2022;3;0.0;2419.47;1;0.14456612786938;1;0.009779989577108239;0
320454;2022;3;0.0;401.84;1;0.16825609365666505;1;0.5054770579516319;0
331355;2022;3;0.0;5261.01;-1;-0.03679809281373325;1;0.47057407363467796;1
331390;2022;3;0.0;245.41;1;0.17960029479591566;1;0.28921129264113077;0
331430;2022;3;0.0;3581.07;-1;-0.0027768667847555273;1;0.008679632224932732;1
305879;2022;4;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;4;0.0;922.19;1;0.09338923365774399;1;0.5282646573573224;0
312125;2022;4;0.0;2419.47;1;0.14456612786938;1;0.009779989577108239;0
320454;2022;4;0.0;401.84;1;0.16825609365666505;1;0.5054770579516319;0
331355;2022;4;0.0;5261.01;-1;-0.03679809281373325;1;0.47057407363467796;1
331390;2022;4;0.0;245.41;1;0.17960029479591566;1;0.28921129264113077;0
331430;2022;4;0.0;3581.07;-1;-0.0027768667847555273;1;0.008679632224932732;1
305879;2022;5;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;5;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;5;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;5;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;5;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;5;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;5;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;6;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;6;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;6;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;6;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;6;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;6;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;6;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;7;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;7;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;7;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;7;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
